CD_MUN,NM_MUN,CD_RISP,NM_RISP
3201308,Cariacica,RISP 1,Metropolitana
3202405,Guarapari,RISP 1,Metropolitana
3205002,Serra,RISP 1,Metropolitana
3205101,Viana,RISP 1,Metropolitana
3205200,Vila Velha,RISP 1,Metropolitana
3205309,Vitória,RISP 1,Metropolitana
3200607,Aracruz,RISP 2,Norte
3201605,Conceição da Barra,RISP 2,Norte
3202207,Fundão,RISP 2,Norte
3202504,Ibiraçu,RISP 2,Norte
3203056,Jaguaré,RISP 2,Norte
3203130,João Neiva,RISP 2,Norte
3203205,Linhares,RISP 2,Norte
3204054,Pedro Canário,RISP 2,Norte
3204351,Rio Bananal,RISP 2,Norte
3204906,São Mateus,RISP 2,Norte
3205010,Sooretama,RISP 2,Norte
3200201,Alegre,RISP 3,Sul
3200300,Alfredo Chaves,RISP 3,Sul
3200409,Anchieta,RISP 3,Sul
3200508,Apiacá,RISP 3,Sul
3200706,Atílio Vivácqua,RISP 3,Sul
3201100,Bom Jesus do Norte,RISP 3,Sul
3201209,Cachoeiro de Itapemirim,RISP 3,Sul
3201407,Castelo,RISP 3,Sul
3201803,Divino de São Lourenço,RISP 3,Sul
3202009,Dores do Rio Preto,RISP 3,Sul
3202306,Guaçuí,RISP 3,Sul
3202603,Iconha,RISP 3,Sul
3202801,Itapemirim,RISP 3,Sul
3203106,Jerônimo Monteiro,RISP 3,Sul
3203320,Marataízes,RISP 3,Sul
3203403,Mimoso do Sul,RISP 3,Sul
3203809,Muqui,RISP 3,Sul
3204203,Piúma,RISP 3,Sul
3204302,Presidente Kennedy,RISP 3,Sul
3204401,Rio Novo do Sul,RISP 3,Sul
3204807,São José do Calçado,RISP 3,Sul
3205036,Vargem Alta,RISP 3,Sul
3200169,Água Doce do Norte,RISP 4,Noroeste
3200136,Águia Branca,RISP 4,Noroeste
3200359,Alto Rio Novo,RISP 4,Noroeste
3200805,Baixo Guandu,RISP 4,Noroeste
3200904,Barra de São Francisco,RISP 4,Noroeste
3201001,Boa Esperança,RISP 4,Noroeste
3201506,Colatina,RISP 4,Noroeste
3202108,Ecoporanga,RISP 4,Noroeste
3202256,Governador Lindenberg,RISP 4,Noroeste
3203304,Mantenópolis,RISP 4,Noroeste
3203353,Marilândia,RISP 4,Noroeste
3203502,Montanha,RISP 4,Noroeste
3203601,Mucurici,RISP 4,Noroeste
3203908,Nova Venécia,RISP 4,Noroeste
3204005,Pancas,RISP 4,Noroeste
3204104,Pinheiros,RISP 4,Noroeste
3204252,Ponto Belo,RISP 4,Noroeste
3204658,São Domingos do Norte,RISP 4,Noroeste
3204708,São Gabriel da Palha,RISP 4,Noroeste
3205150,Vila Pavão,RISP 4,Noroeste
3205176,Vila Valério,RISP 4,Noroeste
3200102,Afonso Cláudio,RISP 5,Serrana
3201159,Brejetuba,RISP 5,Serrana
3201704,Conceição do Castelo,RISP 5,Serrana
3201902,Domingos Martins,RISP 5,Serrana
3202454,Ibatiba,RISP 5,Serrana
3202553,Ibitirama,RISP 5,Serrana
3202652,Irupi,RISP 5,Serrana
3202702,Itaguaçu,RISP 5,Serrana
3202900,Itarana,RISP 5,Serrana
3203007,Iúna,RISP 5,Serrana
3203163,Laranja da Terra,RISP 5,Serrana
3203346,Marechal Floriano,RISP 5,Serrana
3203700,Muniz Freire,RISP 5,Serrana
3204500,Santa Leopoldina,RISP 5,Serrana
3204559,Santa Maria de Jetibá,RISP 5,Serrana
3204609,Santa Teresa,RISP 5,Serrana
3204955,São Roque do Canaã,RISP 5,Serrana
3205069,Venda Nova do Imigrante,RISP 5,Serrana
